case,context,repeat,skill,source,chat_quote,jev_fast_quote,chat_supports_skill,jev_fast_supports_skill,reviewer,notes
"decision-past_reference-full-a","alone","1","aspect_contrast","De pequeño iba andando al colegio; ahora trabajo desde casa.","iba andando al colegio; ahora trabajo","iba andando al colegio; ahora trabajo","","","",""
"decision-past_reference-full-a","alone","1","motion","De pequeño iba andando al colegio; ahora trabajo desde casa.","iba andando","iba andando","","","",""
"decision-past_reference-full-a","alone","1","location","De pequeño iba andando al colegio; ahora trabajo desde casa.","al colegio","","","","",""
"decision-past_reference-full-b","alone","1","past_reference","Ayer yo comprar pan en esa tienda.","Ayer","","","","",""
"decision-past_reference-full-b","alone","1","property","Ayer yo comprar pan en esa tienda.","comprar pan","","","","",""
"decision-past_reference-full-b","alone","1","location","Ayer yo comprar pan en esa tienda.","en esa tienda","","","","",""
"decision-past_reference-full-b","alone","1","event_roles","Ayer yo comprar pan en esa tienda.","yo comprar pan en esa tienda","","","","",""
"decision-past_reference-partial","alone","1","past_reference","La última vez, yo...","La última vez, yo...","","","","",""
"decision-past_reference-absent","alone","1","event_roles","Mañana iremos a un museo de historia antigua.","","iremos a un museo de historia antigua","","","",""
"decision-past_reference-absent","alone","1","future_reference","Mañana iremos a un museo de historia antigua.","Mañana iremos a un museo de historia antigua.","Mañana iremos","","","",""
"decision-past_reference-absent","alone","1","future_conditions","Mañana iremos a un museo de historia antigua.","","Mañana iremos","","","",""
"decision-past_reference-absent","alone","1","event_phase","Mañana iremos a un museo de historia antigua.","","iremos","","","",""
"decision-past_reference-absent","alone","1","motion","Mañana iremos a un museo de historia antigua.","","iremos a un museo","","","",""
"decision-past_reference-absent","alone","1","location","Mañana iremos a un museo de historia antigua.","a un museo de historia antigua.","","","","",""
"decision-past_reference-absent","alone","1","property","Mañana iremos a un museo de historia antigua.","de historia antigua.","","","","",""
"decision-past_reference-source","before","1","event_roles","I lost my wallet last night.","","I lost my wallet","","","",""
"decision-past_reference-source","before","1","past_reference","I lost my wallet last night.","lost","last night","","","",""
"decision-past_reference-source","before","1","event_phase","I lost my wallet last night.","","lost","","","",""
"decision-past_reference-source","before","1","property","I lost my wallet last night.","my wallet","","","","",""
"decision-past_reference-source","before","1","motion","I lost my wallet last night.","lost","","","","",""
"decision-past_reference-source","before","1","negation","I lost my wallet last night.","lost","","","","",""
"decision-future_reference-full-a","alone","1","future_reference","En cuanto termine la reunión, te mando el informe.","En cuanto termine la reunión, te mando el informe.","","","","",""
"decision-future_reference-full-a","alone","1","complex_transfer","En cuanto termine la reunión, te mando el informe.","te mando el informe","","","","",""
"decision-future_reference-full-a","alone","1","event_roles","En cuanto termine la reunión, te mando el informe.","te mando el informe","","","","",""
"decision-future_reference-full-a","alone","1","condition","En cuanto termine la reunión, te mando el informe.","En cuanto termine la reunión","","","","",""
"decision-future_reference-full-b","alone","1","event_roles","El próximo invierno yo viajar a Chile.","","yo viajar a Chile","","","",""
"decision-future_reference-full-b","alone","1","future_reference","El próximo invierno yo viajar a Chile.","El próximo invierno","El próximo invierno","","","",""
"decision-future_reference-full-b","alone","1","future_conditions","El próximo invierno yo viajar a Chile.","","El próximo invierno yo viajar a Chile","","","",""
"decision-future_reference-full-b","alone","1","motion","El próximo invierno yo viajar a Chile.","viajar a Chile","viajar a Chile","","","",""
"decision-future_reference-partial","alone","1","future_reference","Cuando llegue el verano, tengo pensado...","Cuando llegue el verano","Cuando llegue el verano","","","",""
"decision-future_reference-partial","alone","1","future_conditions","Cuando llegue el verano, tengo pensado...","","Cuando llegue el verano, tengo pensado","","","",""
"decision-future_reference-partial","alone","1","modality","Cuando llegue el verano, tengo pensado...","tengo pensado","tengo pensado","","","",""
"decision-future_reference-partial","alone","1","modal_distinctions","Cuando llegue el verano, tengo pensado...","","tengo pensado","","","",""
"decision-future_reference-partial","alone","1","condition","Cuando llegue el verano, tengo pensado...","Cuando llegue el verano","Cuando llegue el verano","","","",""
"decision-future_reference-partial","alone","1","event_roles","Cuando llegue el verano, tengo pensado...","tengo pensado","","","","",""
"decision-future_reference-absent","alone","1","past_reference","La novela se titula El futuro, pero la leí el año pasado.","leí el año pasado","","","","",""
"decision-future_reference-absent","alone","1","property","La novela se titula El futuro, pero la leí el año pasado.","La novela se titula El futuro","","","","",""
"decision-future_reference-source","before","1","future_reference","The train will arrive tomorrow.","The train will arrive tomorrow.","","","","",""
"decision-comparison-full-a","alone","1","comparison","A diferencia del piso de Luis, el mío recibe sol por la tarde.","A diferencia del piso de Luis, el mío","","","","",""
"decision-comparison-full-a","alone","1","possession","A diferencia del piso de Luis, el mío recibe sol por la tarde.","el mío","","","","",""
"decision-comparison-full-a","alone","1","property","A diferencia del piso de Luis, el mío recibe sol por la tarde.","recibe sol por la tarde","","","","",""
"decision-comparison-full-a","alone","1","past_reference","A diferencia del piso de Luis, el mío recibe sol por la tarde.","recibe","","","","",""
"decision-comparison-full-b","alone","1","track_referents","Los dos caminos tardan lo mismo: veinte minutos.","","Los dos caminos","","","",""
"decision-comparison-full-b","alone","1","quantity","Los dos caminos tardan lo mismo: veinte minutos.","Los dos","dos","","","",""
"decision-comparison-full-b","alone","1","property","Los dos caminos tardan lo mismo: veinte minutos.","tardan lo mismo","tardan","","","",""
"decision-comparison-full-b","alone","1","comparison","Los dos caminos tardan lo mismo: veinte minutos.","tardan lo mismo","lo mismo","","","",""
"decision-comparison-full-b","alone","1","comparison_standard","Los dos caminos tardan lo mismo: veinte minutos.","","veinte minutos","","","",""
"decision-comparison-full-b","alone","1","degree","Los dos caminos tardan lo mismo: veinte minutos.","veinte minutos","lo mismo","","","",""
"decision-comparison-partial","alone","1","comparison","Frente al otro candidato, Elena es mucho más...","Frente al otro candidato, Elena es mucho más...","","","","",""
"decision-comparison-partial","alone","1","degree","Frente al otro candidato, Elena es mucho más...","mucho más...","","","","",""
"decision-comparison-absent","alone","1","quantity","El edificio tiene más de cien ventanas.","más de cien","","","","",""
"decision-comparison-source","before","1","property","Hay una etiqueta amarilla.","amarilla","etiqueta amarilla","","","",""
"decision-comparison-source","before","1","referent","Hay una etiqueta amarilla.","una etiqueta amarilla","","","","",""
"decision-comparison-source","before","1","quantity","Hay una etiqueta amarilla.","una","","","","",""
"decision-reason-full-a","alone","1","motion","Como no quedaban asientos, hicimos el viaje de pie.","hicimos el viaje de pie","","","","",""
"decision-reason-full-a","alone","1","past_reference","Como no quedaban asientos, hicimos el viaje de pie.","Como no quedaban asientos, hicimos el viaje de pie.","","","","",""
"decision-reason-full-a","alone","1","property","Como no quedaban asientos, hicimos el viaje de pie.","de pie","","","","",""
"decision-reason-full-a","alone","1","reason","Como no quedaban asientos, hicimos el viaje de pie.","Como no quedaban asientos, hicimos el viaje de pie.","","","","",""
"decision-reason-full-b","alone","1","past_reference","Llevé una linterna para encontrar la llave en la oscuridad.","Llevé","","","","",""
"decision-reason-full-b","alone","1","motion","Llevé una linterna para encontrar la llave en la oscuridad.","Llevé una linterna para encontrar la llave","","","","",""
"decision-reason-full-b","alone","1","reason","Llevé una linterna para encontrar la llave en la oscuridad.","para encontrar la llave en la oscuridad","","","","",""
"decision-reason-full-b","alone","1","location","Llevé una linterna para encontrar la llave en la oscuridad.","en la oscuridad","","","","",""
"decision-reason-partial","alone","1","negation","No pude entrar. La razón fue que...","No pude entrar","","","","",""
"decision-reason-partial","alone","1","reason","No pude entrar. La razón fue que...","La razón fue que...","","","","",""
"decision-reason-absent","alone","1","past_reference","Primero cerré la ventana y después sonó el teléfono.","cerré","","","","",""
"decision-reason-absent","alone","1","past_sequence","Primero cerré la ventana y después sonó el teléfono.","Primero cerré la ventana y después sonó el teléfono","","","","",""
"decision-reason-absent","alone","1","event_roles","Primero cerré la ventana y después sonó el teléfono.","cerré la ventana","","","","",""
"decision-condition-full-a","alone","1","quantity","Solo te presto el coche con la condición de que vuelvas antes de las seis.","antes de las seis","seis","","","",""
"decision-condition-full-a","alone","1","quantify_sets","Solo te presto el coche con la condición de que vuelvas antes de las seis.","","seis","","","",""
"decision-condition-full-a","alone","1","qualified_property","Solo te presto el coche con la condición de que vuelvas antes de las seis.","","antes de las seis","","","",""
"decision-condition-full-a","alone","1","comparison_standard","Solo te presto el coche con la condición de que vuelvas antes de las seis.","","antes de las seis","","","",""
"decision-condition-full-a","alone","1","event_roles","Solo te presto el coche con la condición de que vuelvas antes de las seis.","","te presto el coche","","","",""
"decision-condition-full-a","alone","1","transfer","Solo te presto el coche con la condición de que vuelvas antes de las seis.","","te presto el coche","","","",""
"decision-condition-full-a","alone","1","complex_transfer","Solo te presto el coche con la condición de que vuelvas antes de las seis.","","te presto el coche con la condición de que vuelvas antes de las seis","","","",""
"decision-condition-full-a","alone","1","causal_chain","Solo te presto el coche con la condición de que vuelvas antes de las seis.","","con la condición de que vuelvas antes de las seis","","","",""
"decision-condition-full-a","alone","1","future_reference","Solo te presto el coche con la condición de que vuelvas antes de las seis.","vuelvas antes de las seis","vuelvas","","","",""
"decision-condition-full-a","alone","1","future_conditions","Solo te presto el coche con la condición de que vuelvas antes de las seis.","","vuelvas antes de las seis","","","",""
"decision-condition-full-a","alone","1","modality","Solo te presto el coche con la condición de que vuelvas antes de las seis.","","presto","","","",""
"decision-condition-full-a","alone","1","modal_distinctions","Solo te presto el coche con la condición de que vuelvas antes de las seis.","","presto","","","",""
"decision-condition-full-a","alone","1","reason","Solo te presto el coche con la condición de que vuelvas antes de las seis.","","con la condición de que vuelvas antes de las seis","","","",""
"decision-condition-full-a","alone","1","condition","Solo te presto el coche con la condición de que vuelvas antes de las seis.","con la condición de que vuelvas antes de las seis","con la condición de que","","","",""
"decision-condition-full-a","alone","1","possession","Solo te presto el coche con la condición de que vuelvas antes de las seis.","te presto el coche","","","","",""
"decision-condition-full-b","alone","1","future_conditions","A menos que cambie el tiempo, saldremos a caminar.","A menos que cambie el tiempo, saldremos a caminar.","","","","",""
"decision-condition-full-b","alone","1","future_reference","A menos que cambie el tiempo, saldremos a caminar.","saldremos a caminar","","","","",""
"decision-condition-full-b","alone","1","property","A menos que cambie el tiempo, saldremos a caminar.","cambie el tiempo","","","","",""
"decision-condition-partial","alone","1","condition","Podemos empezar, siempre y cuando...","siempre y cuando","","","","",""
"decision-condition-absent","alone","1","property","El paquete está en buenas condiciones.","buenas condiciones","El paquete está en buenas condiciones","","","",""
"decision-condition-absent","alone","1","referent","El paquete está en buenas condiciones.","El paquete","","","","",""
"decision-condition-source","before","1","possession","La caja tiene una pegatina.","La caja tiene una pegatina.","","","","",""
"decision-condition-source","before","1","property","La caja tiene una pegatina.","La caja tiene una pegatina.","","","","",""
"decision-condition-source","before","1","referent","La caja tiene una pegatina.","La caja tiene una pegatina.","","","","",""
"decision-negation_scope-full-a","alone","1","negation_scope","No todos los alumnos aprobaron: algunos sí y otros no.","No todos los alumnos aprobaron","","","","",""
"decision-negation_scope-full-a","alone","1","quantify_sets","No todos los alumnos aprobaron: algunos sí y otros no.","algunos sí y otros no","","","","",""
"decision-negation_scope-full-b","alone","1","negation","No dije que nadie viniera; dije que no vinieron todos.","No dije","","","","",""
"decision-negation_scope-full-b","alone","1","negation_scope","No dije que nadie viniera; dije que no vinieron todos.","No dije que nadie viniera; dije que no vinieron todos.","","","","",""
"decision-negation_scope-full-b","alone","1","past_reference","No dije que nadie viniera; dije que no vinieron todos.","dije","","","","",""
"decision-negation_scope-partial","alone","1","negation_scope","No todos los...","No todos los","","","","",""
"decision-negation_scope-absent","alone","1","negation","No hay leche.","No hay leche.","No hay leche","","","",""
"decision-negation_scope-source","before","1","property","Veo letras verdes.","letras verdes","letras verdes","","","",""
"decision-negation_scope-source","before","1","quantity","Veo letras verdes.","letras","","","","",""
"decision-transfer-full-a","alone","1","possession","La bibliotecaria me entregó el libro que había reservado.","el libro que había reservado","","","","",""
"decision-transfer-full-a","alone","1","past_reference","La bibliotecaria me entregó el libro que había reservado.","entregó","","","","",""
"decision-transfer-full-a","alone","1","past_sequence","La bibliotecaria me entregó el libro que había reservado.","había reservado","","","","",""
"decision-transfer-full-a","alone","1","event_roles","La bibliotecaria me entregó el libro que había reservado.","La bibliotecaria me entregó el libro","","","","",""
"decision-transfer-full-b","alone","1","transfer","El sobre pasó de las manos de Marta a las de Pablo.","El sobre pasó de las manos de Marta a las de Pablo.","","","","",""
"decision-transfer-full-b","alone","1","motion","El sobre pasó de las manos de Marta a las de Pablo.","El sobre pasó de las manos de Marta a las de Pablo.","","","","",""
"decision-transfer-full-b","alone","1","event_roles","El sobre pasó de las manos de Marta a las de Pablo.","El sobre pasó de las manos de Marta a las de Pablo.","","","","",""
"decision-transfer-full-b","alone","1","past_reference","El sobre pasó de las manos de Marta a las de Pablo.","El sobre pasó de las manos de Marta a las de Pablo.","","","","",""
"decision-transfer-partial","alone","1","event_roles","Le entregué el...","","Le entregué el","","","",""
"decision-transfer-partial","alone","1","transfer","Le entregué el...","Le entregué el","Le entregué el","","","",""
"decision-transfer-partial","alone","1","past_reference","Le entregué el...","entregué","entregué","","","",""
"decision-transfer-partial","alone","1","event_phase","Le entregué el...","","entregué","","","",""
"decision-transfer-absent","alone","1","location","El regalo está encima del armario.","El regalo está encima del armario.","","","","",""
"decision-transfer-absent","alone","1","property","El regalo está encima del armario.","El regalo está encima del armario.","","","","",""
"decision-transfer-source","before","1","event_roles","She gave him the keys.","She gave him the keys.","","","","",""
"decision-transfer-source","before","1","transfer","She gave him the keys.","She gave him the keys.","","","","",""
"decision-transfer-source","before","1","past_reference","She gave him the keys.","She gave him the keys.","","","","",""
"decision-transfer-source","before","1","property","She gave him the keys.","She gave him the keys.","","","","",""
"decision-concession-full-a","alone","1","property","A pesar del ruido, pude terminar el trabajo.","pude terminar el trabajo","","","","",""
"decision-concession-full-a","alone","1","concession","A pesar del ruido, pude terminar el trabajo.","A pesar del ruido","","","","",""
"decision-concession-full-a","alone","1","past_reference","A pesar del ruido, pude terminar el trabajo.","pude terminar","","","","",""
"decision-concession-full-b","alone","1","past_reference","Estaba agotado; aun así, acompañó a su amiga al hospital.","Estaba","","","","",""
"decision-concession-full-b","alone","1","concession","Estaba agotado; aun así, acompañó a su amiga al hospital.","aun así","","","","",""
"decision-concession-full-b","alone","1","event_roles","Estaba agotado; aun así, acompañó a su amiga al hospital.","acompañó a su amiga","","","","",""
"decision-concession-full-b","alone","1","motion","Estaba agotado; aun así, acompañó a su amiga al hospital.","acompañó a su amiga al hospital","","","","",""
"decision-concession-partial","alone","1","condition","Aunque hacía mucho frío...","Aunque hacía mucho frío","","","","",""
"decision-concession-partial","alone","1","past_reference","Aunque hacía mucho frío...","hacía mucho frío","","","","",""
"decision-concession-absent","alone","1","past_reference","Me fui a casa porque estaba agotado.","Me fui","","","","",""
"decision-concession-absent","alone","1","reason","Me fui a casa porque estaba agotado.","porque estaba agotado","","","","",""
"decision-concession-absent","alone","1","property","Me fui a casa porque estaba agotado.","estaba agotado","","","","",""
"decision-concession-source","before","1","property","La pantalla es rectangular.","La pantalla es rectangular","es rectangular","","","",""
"decision-concession-source","before","1","past_reference","La pantalla es rectangular.","La pantalla es rectangular","","","","",""
"decision-reported_content-full-a","alone","1","reported_content","Según la médica, la fiebre debería bajar esta noche.","Según la médica","","","","",""
"decision-reported_content-full-a","alone","1","future_reference","Según la médica, la fiebre debería bajar esta noche.","la fiebre debería bajar esta noche","","","","",""
"decision-reported_content-full-a","alone","1","modality","Según la médica, la fiebre debería bajar esta noche.","debería bajar","","","","",""
"decision-reported_content-full-b","alone","1","reported_content","Mi hermano cree que el taller abre los domingos, pero yo no estoy seguro.","Mi hermano cree que el taller abre los domingos","","","","",""
"decision-reported_content-full-b","alone","1","negation","Mi hermano cree que el taller abre los domingos, pero yo no estoy seguro.","pero yo no estoy seguro","","","","",""
"decision-reported_content-full-b","alone","1","past_reference","Mi hermano cree que el taller abre los domingos, pero yo no estoy seguro.","abre","","","","",""
"decision-reported_content-full-b","alone","1","property","Mi hermano cree que el taller abre los domingos, pero yo no estoy seguro.","abre","","","","",""
"decision-reported_content-partial","alone","1","reported_content","La directora nos explicó que...","La directora nos explicó que...","","","","",""
"decision-reported_content-absent","alone","1","referent","La directora lleva una carpeta roja.","","La directora","","","",""
"decision-reported_content-absent","alone","1","quantity","La directora lleva una carpeta roja.","","una carpeta","","","",""
"decision-reported_content-absent","alone","1","possession","La directora lleva una carpeta roja.","La directora lleva una carpeta roja","lleva una carpeta","","","",""
"decision-reported_content-absent","alone","1","property","La directora lleva una carpeta roja.","una carpeta roja","roja","","","",""
"decision-reported_content-absent","alone","1","event_roles","La directora lleva una carpeta roja.","","La directora lleva una carpeta roja","","","",""
"decision-reported_content-absent","alone","1","event_phase","La directora lleva una carpeta roja.","","lleva","","","",""
"decision-reported_content-source","before","1","reported_content","The doctor says I need rest.","The doctor says I need rest.","","","","",""
"decision-reported_content-source","before","1","property","The doctor says I need rest.","I need rest","","","","",""
"decision-reported_content-source","before","1","past_reference","The doctor says I need rest.","says","","","","",""
"decision-modality-full-a","alone","1","quantity","No hace falta que traigas comida; ya hemos preparado bastante.","bastante","bastante","","","",""
"decision-modality-full-a","alone","1","quantify_sets","No hace falta que traigas comida; ya hemos preparado bastante.","","bastante","","","",""
"decision-modality-full-a","alone","1","degree","No hace falta que traigas comida; ya hemos preparado bastante.","","bastante","","","",""
"decision-modality-full-a","alone","1","event_roles","No hace falta que traigas comida; ya hemos preparado bastante.","","hemos preparado","","","",""
"decision-modality-full-a","alone","1","past_reference","No hace falta que traigas comida; ya hemos preparado bastante.","","hemos preparado","","","",""
"decision-modality-full-a","alone","1","event_phase","No hace falta que traigas comida; ya hemos preparado bastante.","","hemos preparado","","","",""
"decision-modality-full-a","alone","1","negation","No hace falta que traigas comida; ya hemos preparado bastante.","No hace falta","No hace falta que traigas comida","","","",""
"decision-modality-full-a","alone","1","modality","No hace falta que traigas comida; ya hemos preparado bastante.","","No hace falta","","","",""
"decision-modality-full-a","alone","1","modal_distinctions","No hace falta que traigas comida; ya hemos preparado bastante.","","No hace falta","","","",""
"decision-modality-full-a","alone","1","reason","No hace falta que traigas comida; ya hemos preparado bastante.","ya hemos preparado bastante","ya hemos preparado bastante","","","",""
"decision-modality-full-a","alone","1","courtesy","No hace falta que traigas comida; ya hemos preparado bastante.","No hace falta que traigas comida","","","","",""
"decision-modality-full-b","alone","1","property","Quizá el camino esté cerrado por la nieve.","el camino esté cerrado","","","","",""
"decision-modality-full-b","alone","1","condition","Quizá el camino esté cerrado por la nieve.","por la nieve","","","","",""
"decision-modality-full-b","alone","1","modality","Quizá el camino esté cerrado por la nieve.","Quizá","","","","",""
"decision-modality-partial","alone","1","motion","Yo pue... salir.","salir","","","","",""
"decision-modality-absent","alone","1","property","El cartel contiene la palabra permiso.","contiene la palabra permiso","","","","",""
"decision-modality-absent","alone","1","referent","El cartel contiene la palabra permiso.","El cartel","","","","",""
"decision-modality-source","before","1","property","The entrance is blue.","The entrance is blue.","is blue","","","",""
"decision-modality-source","before","1","location","The entrance is blue.","The entrance is blue.","","","","",""
"decision-past_sequence-full-a","alone","1","past_reference","Cuando llegué a la estación, el último tren ya había salido.","Cuando llegué","","","","",""
"decision-past_sequence-full-a","alone","1","past_sequence","Cuando llegué a la estación, el último tren ya había salido.","Cuando llegué a la estación, el último tren ya había salido.","","","","",""
"decision-past_sequence-full-a","alone","1","location","Cuando llegué a la estación, el último tren ya había salido.","a la estación","","","","",""
"decision-past_sequence-full-a","alone","1","property","Cuando llegué a la estación, el último tren ya había salido.","el último tren","","","","",""
"decision-past_sequence-full-b","alone","1","past_sequence","Primero guardé los documentos, luego apagué el ordenador y finalmente salí.","Primero guardé los documentos, luego apagué el ordenador y finalmente salí.","","","","",""
"decision-past_sequence-full-b","alone","1","past_reference","Primero guardé los documentos, luego apagué el ordenador y finalmente salí.","guardé","","","","",""
"decision-past_sequence-partial","alone","1","past_reference","Después de haber terminado...","Después de haber terminado","Después de haber terminado","","","",""
"decision-past_sequence-partial","alone","1","past_sequence","Después de haber terminado...","","Después de haber terminado","","","",""
"decision-past_sequence-partial","alone","1","event_phase","Después de haber terminado...","","haber terminado","","","",""
"decision-past_sequence-absent","alone","1","past_reference","Ayer fuimos al parque.","Ayer","","","","",""
"decision-past_sequence-absent","alone","1","motion","Ayer fuimos al parque.","fuimos al parque","","","","",""
"decision-past_sequence-absent","alone","1","event_roles","Ayer fuimos al parque.","fuimos","","","","",""
"decision-past_sequence-source","before","1","quantity","Las cifras son grandes.","","Las cifras son grandes","","","",""
"decision-past_sequence-source","before","1","property","Las cifras son grandes.","Las cifras son grandes","Las cifras son grandes","","","",""
"decision-past_sequence-source","before","1","degree","Las cifras son grandes.","","grandes","","","",""
"decision-courtesy-full-a","alone","2","courtesy","Perdona por llegar tarde; se averió el autobús.","Perdona","","","","",""
"decision-courtesy-full-a","alone","2","reason","Perdona por llegar tarde; se averió el autobús.","Perdona por llegar tarde; se averió el autobús.","","","","",""
"decision-courtesy-full-a","alone","2","past_reference","Perdona por llegar tarde; se averió el autobús.","se averió","","","","",""
"decision-courtesy-full-b","alone","2","courtesy","De nada, ha sido un placer ayudarte.","De nada","ha sido un placer ayudarte","","","",""
"decision-courtesy-full-b","alone","2","greeting","De nada, ha sido un placer ayudarte.","","De nada","","","",""
"decision-courtesy-full-b","alone","2","possession","De nada, ha sido un placer ayudarte.","ha sido un placer ayudarte","","","","",""
"decision-courtesy-partial","alone","2","courtesy","Quería discul... por lo de esta mañana.","Quería discul...","","","","",""
"decision-courtesy-absent","alone","2","property","El personaje se llama Gracias y vive en un libro.","se llama Gracias","","","","",""
"decision-courtesy-absent","alone","2","location","El personaje se llama Gracias y vive en un libro.","vive en un libro","","","","",""
"decision-courtesy-absent","alone","2","referent","El personaje se llama Gracias y vive en un libro.","El personaje","","","","",""
"decision-courtesy-source","before","2","property","La página tiene dos columnas.","La página tiene dos columnas.","","","","",""
"decision-courtesy-source","before","2","quantity","La página tiene dos columnas.","La página tiene dos columnas.","","","","",""
"decision-courtesy-source","before","2","location","La página tiene dos columnas.","La página tiene dos columnas.","","","","",""
"decision-past_reference-full-a","alone","2","past_reference","De pequeño iba andando al colegio; ahora trabajo desde casa.","iba andando al colegio","","","","",""
"decision-past_reference-full-a","alone","2","motion","De pequeño iba andando al colegio; ahora trabajo desde casa.","iba andando al colegio","","","","",""
"decision-past_reference-full-a","alone","2","location","De pequeño iba andando al colegio; ahora trabajo desde casa.","al colegio","","","","",""
"decision-past_reference-full-a","alone","2","event_phase","De pequeño iba andando al colegio; ahora trabajo desde casa.","iba andando","","","","",""
"decision-past_reference-full-b","alone","2","past_reference","Ayer yo comprar pan en esa tienda.","Ayer","","","","",""
"decision-past_reference-full-b","alone","2","property","Ayer yo comprar pan en esa tienda.","comprar pan","","","","",""
"decision-past_reference-full-b","alone","2","location","Ayer yo comprar pan en esa tienda.","en esa tienda","","","","",""
"decision-past_reference-partial","alone","2","past_reference","La última vez, yo...","La última vez, yo...","","","","",""
"decision-past_reference-absent","alone","2","event_roles","Mañana iremos a un museo de historia antigua.","","iremos a un museo de historia antigua","","","",""
"decision-past_reference-absent","alone","2","future_reference","Mañana iremos a un museo de historia antigua.","Mañana iremos a un museo de historia antigua.","Mañana iremos","","","",""
"decision-past_reference-absent","alone","2","future_conditions","Mañana iremos a un museo de historia antigua.","","Mañana iremos a un museo de historia antigua","","","",""
"decision-past_reference-absent","alone","2","event_phase","Mañana iremos a un museo de historia antigua.","","iremos","","","",""
"decision-past_reference-absent","alone","2","motion","Mañana iremos a un museo de historia antigua.","iremos a un museo","iremos a un museo de historia antigua","","","",""
"decision-past_reference-absent","alone","2","location","Mañana iremos a un museo de historia antigua.","a un museo de historia antigua","","","","",""
"decision-past_reference-source","before","2","event_roles","I lost my wallet last night.","","I lost my wallet","","","",""
"decision-past_reference-source","before","2","event_phase","I lost my wallet last night.","","last night","","","",""
"decision-past_reference-source","before","2","past_reference","I lost my wallet last night.","lost","","","","",""
"decision-past_reference-source","before","2","property","I lost my wallet last night.","my wallet","","","","",""
"decision-past_reference-source","before","2","location","I lost my wallet last night.","last night","","","","",""
"decision-future_reference-full-a","alone","2","future_reference","En cuanto termine la reunión, te mando el informe.","En cuanto termine la reunión, te mando el informe.","","","","",""
"decision-future_reference-full-a","alone","2","transfer","En cuanto termine la reunión, te mando el informe.","te mando el informe","","","","",""
"decision-future_reference-full-a","alone","2","event_roles","En cuanto termine la reunión, te mando el informe.","te mando el informe","","","","",""
"decision-future_reference-full-a","alone","2","condition","En cuanto termine la reunión, te mando el informe.","En cuanto termine la reunión","","","","",""
"decision-future_reference-full-b","alone","2","event_roles","El próximo invierno yo viajar a Chile.","yo viajar","yo viajar a Chile","","","",""
"decision-future_reference-full-b","alone","2","future_reference","El próximo invierno yo viajar a Chile.","El próximo invierno yo viajar a Chile.","El próximo invierno","","","",""
"decision-future_reference-full-b","alone","2","future_conditions","El próximo invierno yo viajar a Chile.","","yo viajar a Chile","","","",""
"decision-future_reference-full-b","alone","2","motion","El próximo invierno yo viajar a Chile.","viajar a Chile","viajar a Chile","","","",""
"decision-future_reference-partial","alone","2","future_reference","Cuando llegue el verano, tengo pensado...","Cuando llegue el verano","Cuando llegue el verano","","","",""
"decision-future_reference-partial","alone","2","future_conditions","Cuando llegue el verano, tengo pensado...","Cuando llegue el verano, tengo pensado...","Cuando llegue el verano, tengo pensado","","","",""
"decision-future_reference-partial","alone","2","modality","Cuando llegue el verano, tengo pensado...","","tengo pensado","","","",""
"decision-future_reference-partial","alone","2","modal_distinctions","Cuando llegue el verano, tengo pensado...","","tengo pensado","","","",""
"decision-future_reference-partial","alone","2","condition","Cuando llegue el verano, tengo pensado...","","Cuando llegue el verano","","","",""
