"sample_id","level","scenario","fixed_history","response","sentence_count_heuristic","difficulty_fit_0_2","reply_opportunity_0_2","responsiveness_0_2","persona_consistency_0_2_or_na","notes"
"1a19d44f73f1","absolute_zero","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","No hay gente.","1","","","","",""
"1aa9609c7a19","intermediate","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Ah, te refieres a que la playa está vacía y no sabes por qué. Quizás sea porque hace un poco de frío o porque la gente está trabajando. A mí me gusta la playa cuando no hay mucha gente, es más tranquila.","3","","","","",""
"1b12fb768c54","intermediate","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me encanta la playa así, vacía. Es el mejor momento para pasear. ¿Qué tipo de música te apetece escuchar hoy?","3","","","","",""
"1bfefe58848d","beginner","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","No hay gente en la playa.","1","","","","",""
"1d345a2468ba","intermediate","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","No hay nadie en la playa.","1","","","","",""
"1db839515648","beginner","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","¿No te gusta la playa vacía?","1","","","","",""
"2493433dc7c7","beginner","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","¿No hay gente?","1","","","","",""
"274e7b13ae18","absolute_zero","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","La playa no tiene gente.","1","","","","",""
"27680c4d4ca6","intermediate","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me parece muy bien. ¿Qué tipo de música te gusta escuchar?","2","","","","",""
"292e2b1a447c","absolute_zero","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","La playa no tiene gente.","1","","","","",""
"295800f60a6b","intermediate","opening","[]","Prefiero el café con leche por las mañanas. ¿Tú también tomas café?","2","","","","",""
"2ccf7123b5a0","intermediate","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Sí, ¿verdad? Con este tiempo, la gente no suele ir a la playa. Supongo que prefieren quedarse en casa.","3","","","","",""
"2d3dd44b0ea7","absolute_zero","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¿Te gusta la música?","1","","","","",""
"2d738c2dc389","beginner","opening","[]","El desayuno es la mejor comida del día.","1","","","","",""
"2e5510c5921a","absolute_zero","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me gusta la música.","1","","","","",""
"2f35c2e796cf","absolute_zero","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","No hay gente.","1","","","","",""
"2fa8113a72e2","absolute_zero","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¿Te gusta la música?","1","","","","",""
"33767bf5765a","absolute_zero","opening","[]","Me gusta el café.","1","","","","",""
"376cc94322be","intermediate","opening","[]","¡Hola! Para mí, el desayuno es la mejor comida del día. Me encanta el olor a café recién hecho por la mañana. ¿Y a ti?","4","","","","",""
"3a9062520dd7","absolute_zero","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me gusta la música.","1","","","","",""
"3f9502b104cc","intermediate","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¡Qué bien! Me encanta la playa vacía. ¿Y qué tipo de música te apetece hoy?","3","","","","",""
"414c9702e093","absolute_zero","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¿Te gusta la música?","1","","","","",""
"4207487caaa4","intermediate","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Digo que no hay nadie en la playa. Está vacía.","2","","","","",""
"459c64d22c0d","intermediate","opening","[]","A mí me encanta el desayuno. Es mi comida favorita del día.","2","","","","",""
"476fbf3ad8db","beginner","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Quiero decir que no hay gente en la playa.","1","","","","",""
"4d26bdf8a9c6","absolute_zero","opening","[]","¿Te gusta el café?","1","","","","",""
"510b6686a660","beginner","opening","[]","El desayuno es mi comida favorita.","1","","","","",""
"5a7829840900","absolute_zero","opening","[]","¿Te gusta el café?","1","","","","",""
"602d7f3ab3fc","absolute_zero","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¿Te gusta la música?","1","","","","",""
"60bd0ff32427","intermediate","opening","[]","A mí me encanta el desayuno, es mi comida favorita del día. ¿A ti también te gusta mucho?","2","","","","",""
"64c14cf882c0","intermediate","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Claro, te explico. Quería decir que no hay mucha gente en la playa. Está casi vacía, tranquila.","3","","","","",""
"652e9cd16017","beginner","opening","[]","Me encanta el café con leche.","1","","","","",""
"66b44932c282","absolute_zero","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¿Te gusta la música?","1","","","","",""
"68c37717d15b","absolute_zero","opening","[]","¿Te gusta el café o el té?","1","","","","",""
"6a44e048a32f","beginner","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Qué raro que esté vacía.","1","","","","",""
"6c72f1f4caea","beginner","opening","[]","Me gusta mucho el café.","1","","","","",""
"70c9f7545f26","beginner","opening","[]","Me gusta mucho el café con leche.","1","","","","",""
"74c67dafc77e","beginner","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me gusta mucho la música pop.","1","","","","",""
"7602b3190f13","intermediate","opening","[]","El desayuno es mi comida favorita, sin duda. ¿Qué te parece?","2","","","","",""
"761d7d6aae98","beginner","opening","[]","Me gusta mucho desayunar.","1","","","","",""
"7d1422460c9e","beginner","opening","[]","Me gusta mucho el café por la mañana.","1","","","","",""
"7e8791f8b814","intermediate","opening","[]","¡Hola! Qué bien que te guste cocinar. A mí me encanta probar sitios nuevos. ¿Cuál es tu favorito de Valencia?","4","","","","",""
"7f6efe05430f","intermediate","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Quiero decir que no hay gente en la playa.","1","","","","",""
"8547a357af2b","intermediate","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me parece genial, la playa vacía es perfecta para pensar en música. ¿Qué tipo de música te apetece escuchar hoy?","2","","","","",""
"86d540213f94","absolute_zero","opening","[]","Hola. Yo soy Lucía.","2","","","","",""
"8734bcc2a7bf","beginner","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me gusta la música.","1","","","","",""
"88a63f7b3ee0","beginner","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me gusta mucho la música.","1","","","","",""
"89d8ec2457c2","absolute_zero","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me gusta la música.","1","","","","",""
"8acbbfa5f477","intermediate","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me parece genial. ¿Qué tipo de música te gusta escuchar?","2","","","","",""
"8fc921785d5c","beginner","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¿Qué tipo de música te gusta?","1","","","","",""
"9056d7b77bd5","absolute_zero","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¿Te gusta la música?","1","","","","",""
"915adaf99c98","absolute_zero","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Ah, la playa.","1","","","","",""
"949d2b8d35d5","intermediate","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","No hay gente.","1","","","","",""
"98b98cdb652c","intermediate","opening","[]","Me gusta mucho el desayuno. Es mi comida favorita del día.","2","","","","",""
"9acde2c2cba1","intermediate","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me parece muy bien. ¿Qué tipo de música te gusta?","2","","","","",""
"9e474ef24a65","beginner","opening","[]","Me gusta mucho el café.","1","","","","",""
"9ef8cb171e06","absolute_zero","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","La playa no tiene gente.","1","","","","",""
"a2b9788af354","absolute_zero","opening","[]","¿Te gusta el café?","1","","","","",""
"a43450fefd60","beginner","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me gusta la música.","1","","","","",""
"a43f46cab706","absolute_zero","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","¿Te gusta la playa?","1","","","","",""
"a616eee6ce91","intermediate","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Me refería a que no hay mucha gente en la playa. A mí me gusta así, cuando está vacía. Es más tranquila.","3","","","","",""
"aaf08a5a0bae","beginner","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me gusta la música.","1","","","","",""
"ab647519fb01","beginner","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","No hay gente.","1","","","","",""
"adb295d9bb33","beginner","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¿Qué música te gusta?","1","","","","",""
"b0946282b075","absolute_zero","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Ah, lo siento. Quise decir que no hay gente en la playa.","2","","","","",""
"b1aa16576ff8","absolute_zero","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¿Te gusta la música?","1","","","","",""
"b57a9a46b5b4","intermediate","opening","[]","A mí me encanta desayunar en una terraza cuando hace buen tiempo. Es mi momento favorito del día.","2","","","","",""
"bbabf43b1761","beginner","opening","[]","Me gusta mucho desayunar.","1","","","","",""
"be8010f17121","beginner","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me parece genial.","1","","","","",""
"bf2531a38b73","intermediate","opening","[]","A mí me encanta el café con leche por las mañanas. Es mi bebida favorita para empezar el día.","2","","","","",""
"c21b92984a5c","beginner","opening","[]","El café con leche está muy bueno.","1","","","","",""
"c4e554b6a497","intermediate","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Sí, no hay nadie. Es raro porque hace sol y buena temperatura.","2","","","","",""
"c6f8c7649fef","absolute_zero","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","¿Te gusta la playa?","1","","","","",""
"ca40ce9a9baf","beginner","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¡Qué bien! Me encanta la música.","2","","","","",""
"caf335dd3959","beginner","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","No hay gente.","1","","","","",""
"cb22b6edada5","absolute_zero","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","No hay gente.","1","","","","",""
"cdbe6d4cb4c5","intermediate","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Es que en invierno no suele haber mucha gente, aunque haga sol. ¿A ti te gusta la playa con poca gente?","2","","","","",""
"d70295611fef","intermediate","opening","[]","A mí me encanta desayunar en una cafetería, pero si tengo tiempo, prefiero prepararlo en casa. ¿Tú qué sueles hacer?","2","","","","",""
"d7343bd29be5","intermediate","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Quiero decir que no hay mucha gente en la playa.","1","","","","",""
"d7fdd45ff984","beginner","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Ah, sí. La playa no tiene gente.","2","","","","",""
"dabbe9bb1799","absolute_zero","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","La playa no tiene gente.","1","","","","",""
"db5d86098c74","absolute_zero","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me gusta la música.","1","","","","",""
"dee3073dd4bf","absolute_zero","opening","[]","¿Te gusta el café?","1","","","","",""
"e1e06a052a56","absolute_zero","opening","[]","¿Te gusta el café?","1","","","","",""
"e33960102a00","beginner","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me gusta mucho la música.","1","","","","",""
"e42be3ec2c06","intermediate","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me encanta la playa cuando no hay gente. ¿Qué tipo de música te gusta?","2","","","","",""
"e469b2388429","intermediate","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me encanta la playa así, vacía. Es la mejor época para pasear. ¿Qué tipo de música te apetece escuchar hoy?","3","","","","",""
"e78f29b6eba4","beginner","opening","[]","El desayuno es la mejor comida del día.","1","","","","",""
"eae4f23f7d9f","beginner","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","La playa no tiene gente.","1","","","","",""
"ec99ca9be74d","intermediate","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me parece un plan genial. A mí también me encanta la playa cuando no hay mucha gente. ¿Qué tipo de música te apetece escuchar hoy?","3","","","","",""
"ed310d612fd2","absolute_zero","opening","[]","Hola. Me gusta el café.","2","","","","",""
"f22beb7fa4bf","beginner","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","¿Qué música te gusta?","1","","","","",""
"f269d3f22f4e","beginner","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Quiero decir que no hay gente en la playa.","1","","","","",""
"f836bedf2f4d","intermediate","topic-switch","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me parece genial hablar de música. ¿Qué tipo de música te gusta escuchar cuando la playa está así, vacía?","2","","","","",""
"fa0a2bd62da7","beginner","confusion","[{""role"":""assistant"",""content"":""La playa está vacía hoy.""},{""role"":""user"",""content"":""No entiendo.""}]","Quiero decir que no hay gente.","1","","","","",""
"fb1b8c13a741","absolute_zero","opening","[]","¿Te gusta el café o el té?","1","","","","",""
"fe4ce6b78d10","absolute_zero","opening","[]","¿Te gusta el café?","1","","","","",""
