"sample_id","language","level","scenario","history","response","sentence_count_heuristic","difficulty_fit_0_2","reply_opportunity_0_2","responsiveness_0_2","persona_consistency_0_2_or_na","notes"
"a17a9dfaecca","mandarin","intermediate","preference","[{""role"":""assistant"",""content"":""我出门一般都是晚上骑车，白天太晒了。""},{""role"":""user"",""content"":""我不懂。""},{""role"":""assistant"",""content"":""我喜欢晚上骑车，白天太热了。""},{""role"":""user"",""content"":""我想聊音乐。""},{""role"":""assistant"",""content"":""好的，你喜欢听哪种音乐？我最近喜欢听那种比较放松的纯音乐。""},{""role"":""user"",""content"":""我喜欢在家听音乐。""}]","嗯，在家听音乐确实很舒服。我喜欢一边听音乐一边做饭。","2","","","","",""
"a5ede6d9fbbb","spanish","beginner","topic-switch","[{""role"":""assistant"",""content"":""Me gusta mucho nadar en el mar.""},{""role"":""user"",""content"":""No entiendo.""},{""role"":""assistant"",""content"":""Me gusta nadar en el mar.""},{""role"":""user"",""content"":""Quiero hablar de música.""}]","Me gusta la música.","1","","","","",""
"a85e1837c6a0","arabic","beginner","opening","[]","أنا بحب أرسم أبواب عمان القديمة.","1","","","","",""
"ac98ac4d2dfe","mandarin","intermediate","topic-switch","[{""role"":""assistant"",""content"":""我出门一般都是晚上骑车，白天太晒了。""},{""role"":""user"",""content"":""我不懂。""},{""role"":""assistant"",""content"":""我喜欢晚上骑车，白天太热了。""},{""role"":""user"",""content"":""我想聊音乐。""}]","好的，你喜欢听哪种音乐？我最近喜欢听那种比较放松的纯音乐。","2","","","","",""
"b7add159d9b6","arabic","beginner","confusion","[{""role"":""assistant"",""content"":""أنا بحب أرسم أبواب عمان القديمة.""},{""role"":""user"",""content"":""مش فاهم.""}]","أنا بحب أرسم أبواب عمان القديمة.","1","","","","",""
"c5dbb1b1d39b","spanish","beginner","confusion","[{""role"":""assistant"",""content"":""Me gusta mucho nadar en el mar.""},{""role"":""user"",""content"":""No entiendo.""}]","Me gusta nadar en el mar.","1","","","","",""
"cb5ae7736a6b","spanish","intermediate","confusion","[{""role"":""assistant"",""content"":""Me gusta mucho ir a la playa en invierno. Hay menos gente.""},{""role"":""user"",""content"":""No entiendo.""}]","Me gusta ir a la playa cuando no hay mucha gente.","1","","","","",""
"e2e7a7e4a911","arabic","intermediate","confusion","[{""role"":""assistant"",""content"":""أنا بحب أرسم المداخل القديمة.""},{""role"":""user"",""content"":""مش فاهم.""}]","أنا بحب أرسم أبواب البيوت القديمة.","1","","","","",""
"ea3e2c0489b3","mandarin","intermediate","opening","[]","我出门一般都是晚上骑车，白天太晒了。","1","","","","",""
"f8a325bc0f27","mandarin","beginner","preference","[{""role"":""assistant"",""content"":""我喜欢晚上骑车。""},{""role"":""user"",""content"":""我不懂。""},{""role"":""assistant"",""content"":""我喜欢晚上骑自行车。""},{""role"":""user"",""content"":""我想聊音乐。""},{""role"":""assistant"",""content"":""我喜欢听音乐。""},{""role"":""user"",""content"":""我喜欢在家听音乐。""}]","我也喜欢在家听音乐。","1","","","","",""
